difficulty,question,answers,related,random
6,abstinence,"masturbation, promiscuity, sobriety, chastity, virginity, celibacy, teetotalism","pregancy, voluntary, immorality, acting-out, self-compassion, inculcation, mandatory, stop-smoking, intemperance, non-intercourse","reanalyze, reoccurring, casual, presentation, blossom, efficacious, lumpsum, trigeneration, fragile, crueller"
5,abstract,"pinch, sneak, pilfer, cabbage, conceptual, nonfigurative, conceptuality, purloin, expressionism, nonobjective, nobble, swipe, snarf, outline, filch, precis, synopsis, lift, expressionist, hook","cubist, declarative, white-paper, hyper-real, information-theoretic, hyper-text, context-independent, axiomatic, mathematical, reified","doughty, pictorially, impracticality, atypical, fondle, shockable, remedying, untoward, eggregious, bethink"
6,abstract,"pinch, sneak, pilfer, cabbage, conceptual, nonfigurative, conceptuality, purloin, expressionism, nonobjective, nobble, swipe, snarf, outline, filch, precis, synopsis, lift, expressionist, hook","cubist, declarative, white-paper, hyper-real, information-theoretic, hyper-text, context-independent, axiomatic, mathematical, reified","go, readymade, writhe, mentor, inescapable, consequense, dramaturgy, masturbation, finalize, softy"
6,accolade,"commendation, plaudit, honour, awarder, award, laurels, honours, recognition, plaudits, awards, honor","earns, excellance, laureateship, desrves, film-critic, honorable, peer-voted, highest, pinnacle, pat-on-the-back","enflame, efficiently, redivide, coddle, perusal, friable, remarkably, entend, contrasting, verbatim"
6,accommodate,"adapt, cater, unaccommodated, fit, reflect, adjust, oblige, lodge, readapt, admit, reconcile, allow, hold, suit","universalise, pre-arrange, predefine, universalize, operationalise, re-formulate, outgrow, conﬂict, re-configure, restablish","unanimous, receptivity, uninterrupted, technobabble, disfranchising, obervations, organiser, disbenefits, riot, traitorous"
2,accomplish,"action, reach, succeed, attain, fulfil, execute, acheive, fulfill, achieve, do, effectuate, actualize, realize","one--to, be-and, purpose--to, invlove, near-impossible, best--and, trying, embody, undoable, re-prove","sullen, redirections, antithesis, tortuous, blubbing, hesistate, solution, boisterous, demeaningly, nonbiased"
3,accomplish,"action, reach, succeed, attain, fulfil, execute, acheive, fulfill, achieve, do, effectuate, actualize, realize","one--to, be-and, purpose--to, invlove, near-impossible, best--and, trying, embody, undoable, re-prove","estimate, programme, thoroughness, appeare, roar, qualities, inspirational, penname, misattribute, nonsensical"
3,accumulate,"amass, collect, deplete, reabsorb, hoard, gather, compile","trasfer, induce, rewarm, divy, deteriorate, reinvest, drift, destabilize, disposible, aggragate","innovate, aquatic, exhilarating, purblind, saddened, inconsolable, cringeworthy, redescribe, chapbook, stereopsis"
3,accurate,"unbiased, reliable, exact, precise, truthful","realiable, verfiable, dependable, traceable, coherent, non-bias, highly-biased, comprhensive, descriptive, reference-free","beauty, oversimplify, monumental, extra, revert, smirked, frequently, postulate, rebuke, prolife"
4,acknowledge,"deny, know, recognize, receipt, notice, affirm, accept, recognise, concede, emphasize, appreciate, admit, realize","clairify, bleive, admire, recognisation, internalize, chastize, jusify, apprecaite, castigate, apologise","intend, awkward, petulant, select, product, instantaneity, transgress, tame, plentiful, gradational"
4,acquire,"develop, possess, gain, purchase, larn, grow, learn, get, obtain, assume, reacquires, evolve, take, win, produce, retain, sell, adopt","attract, securitize, bring, actualize, appraise, promote, deprive, commodify, engage, repurchase","satisifies, correctitude, unsophisticated, embellish, unflagging, annualise, supposable, snippit, recognition, settlers"
3,adapt,"revise, develop, integrate, assimilate, innovate, adjust, modify, conform, accommodate, evolve","react, recreate, recompose, re-envision, institutionalize, force-fit, reevaluate, finetune, re-embrace, re-appraise","solution, repare, compare, penurious, sere, expose, retorted, poliical, chorismate, construct"
2,adaptation,"exaptations, ""adaptation"", development, adjustment","play-within-the-play, re-acquisition, survival, slection, strategy, dialogue-free, sketch-based, parallelisation, intellectualization, movement-based","temperment, presume, operations, inadequate, noted, interpretion, terribleness, convince, hardy, dispiritingly"
4,addict,"nut, heroin, junkie, druggie, hook, freak, junky","fiend, victimless, binge, freeloader, antabuse, buddie, youth-obsessed, marijuana-smoking, compulsivity, drug-fueled","sleep, interfiled, eject, calculate, sell, held, ardency, contraditions, unsustainable, unelect"
2,additional,"some, special, extra, extensive, initial, substantial, new, significant, specific","substatial, interational, training-related, limited, above-listed, more-frequent, various, occasional, limited-use, less-technical","startle, disingenuous, downfalls, throughline, tranfer, insincere, descrive, prohibitions, happenstance, warmonger"
3,adequate,"satisfactory, proper, tolerable, necessary, enough, equal, sufficient, insufficient, sufficent, suitable, passable, decent","near-ideal, detailed, rigorous, necessitates, fair, lacks, comfortable, abundant, requestable, inadequately","masterwork, negociate, serene, misanthropist, annoy, superdiversity, maladaptation, implement, opportunites, succinct"
4,adequate,"satisfactory, proper, tolerable, necessary, enough, equal, sufficient, insufficient, sufficent, suitable, passable, decent","near-ideal, detailed, rigorous, necessitates, fair, lacks, comfortable, abundant, requestable, inadequately","locution, contacted, differet, varous, bloodied, bafflement, provision, desolated, relvance, irritated"
3,adjacent,"conterminous, neighbouring, nearby, next, abutting, neighboring, noncontiguous, contiguous","bayshore, side-wall, central, dirt-covered, portions, land-side, half-covered, high-bay, separated, newly-opened","diversed, gaslights, linkify, indiciate, governable, reified, gratuitousness, fascination, slay, outline"
4,admonish,"discourage, exhort, reprove, warn, scold, chasten, chide, chastise, remind, implore, caution, exhorting","cuss, advises, claify, supplicate, dare, embolden, reproves, exhorte, persuade, suggest","furnish, precice, gruesomeness, flavourful, communicating, ruthless, rebell, interact, forecast, exerience"
5,admonish,"discourage, exhort, reprove, warn, scold, chasten, chide, chastise, remind, implore, caution, exhorting","cuss, advises, claify, supplicate, dare, embolden, reproves, exhorte, persuade, suggest","scaring, executive, irk, unhappily, heartlessly, concilliatory, rocky, choke, implicative, soften"
6,adulation,"fawning, sycophantic, flattery, acclaim, reverence, adoring","superstardom, hero-worshipping, reverent, attention, pomp, unpopularity, imperiousness, ostentation, impertinence, largesse","unbend, breakdown, unload, solicit, bewilders, collectiveness, commom, astounded, romanist, numnber"
6,adversity,"endure, fortitude, overcoming, persevering, perseverance, overcome, hardships, resilience, persevere, hardship","compassion, debilitating, success, ordeals, predicament, inury, relentless, sufferings, unhappiness, persistency","reparametrization, nonjudicial, ask, inspirers, inert, biometrically, parallel, horrify, bonhomie, ruin"
5,advocate,"supporter, proponents, expouse, urge, proponent, recommend, counselor, counsellor, activist, exponent, pleader, propone, preach, counsel","reasearcher, do-and, conﬂict, prolife, pro-intervention, believer, disagress, de-mystify, targeter, eliminativist","unflagging, counterargue, supped, want, stifling, bombmaking, specifics, patriarchial, periodicities, homogenize"
6,aesthetic,"cultural, esthetical, visual, artistical","anti-ecological, stylistics, practical, avant-garde, ecocritical, subcultural, non-discursive, monumentalism, non-architectural, anatomical","interdependant, stealin, excempt, italicize, sponsorships, pooped, hoodwink, meet, hypocritcal, impugn"
6,aesthetic,"cultural, esthetical, visual, artistical","anti-ecological, stylistics, practical, avant-garde, ecocritical, subcultural, non-discursive, monumentalism, non-architectural, anatomical","condemn, enrage, wikicommunity, frontality, imperiousness, subdue, evidene, upswell, arrogance, ascription"
4,affiliation,"unaffiliated, membership, sponsorship, tie, allegiance, disaffiliate","sponsorships, wagf, selfdetermination, sponsors, non-identification, disidentification, non-partisanship, non-objection, demonination, non-representation","amendation, sculpture, fireless, perceptional, interpolative, curtailed, resentful, dickery, unpremeditated, compellence"
6,affinity,"kinship, relation","independent-mindedness, anti-correlation, contradistinction, clientage, homogeneity, reactivity, near-mystical, effciency, cross-reactivity, group-related","deacons, aggregious, naive, obtain, desultory, confute, coorporate, accommodate, dimunition, victimize"
4,agitate,"radicalize, push, suppress, shake, shift, budge, foment, press, campaign, stir, excite, enflame, rouse, fight, disturb, inflame, provoke, commove, vex, charge, incite, propagandize, crusade","promote, resist, bestir, sensitise, mystify, percolate, balkanise, embarass, seethe, orientate","uninterested, infrequent, intermittent, hurting, read, characteristic, unflagging, catalyze, charitable, peerless"
2,agreeable,"concordant, congenial, accordant, pleasant, disagreeably, consonant","fairminded, appropriate, excellent, portentious, peacable, well-balanced, open-hearted, understable, unharmonious, sane","triality, universalise, omnipresent, manic, dumbfound, chocked, meet, innocently, vapid, ostentatiousness"
4,allege,"substantiate, falsely, say, accuse, aver, complain, contend, assert, insinuate, claim, implicate, purport","evidnce, polict, adjudge, admit, mis-represent, mis-treatment, counterclaims, fraudulently, persuassion, justify","bafflement, reinsert, quell, godlike, whole, discusson, variety, curmudgeon, depressed, liturgy"
5,alleviate,"relieve, reduce, lessen, minimize, ease, assuage","disbalance, deepen, optimize, stabilise, difuse, subdue, anguish, aggravated, overstimulate, sufferring","magnify, necessitate, recognises, pastor, delusionary, contacted, counternarrative, websearching, nonconceptual, unrest"
4,allocate,"reallocates, apportion, reallocating, prioritize, assign","efficiently, re-locate, cross-subsidize, use, maintain, receive, discretize, proportionally, commit, borrow","either, renowned, uncapable, lineation, write, deny, bureaucratize, narcotics, comprising, properity"
6,altercation,"scuffles, scuffle, incident, brawl, fracas, affray, fistfight","contretemps, brouhaha, verbal, off-and-on, pepper-spraying, interruption, off-form, side-swipe, sparring, knife-fight","perpetual, begrudging, outproduce, coordination, 1990s, receptive, valuative, redemptive, systemize, improvement"
4,alternative,"substitute, traditional, choice, option, conventional, viable, suitable","ideologically-based, adult-friendly, non-chemical, less-favorable, non-prescriptive, community-centric, non-comparative, non-consistent, non-glamorous, less-technical","leftists, raffish, irritation, tortuously, converging, leason, faithful, malignity, protists, commonlaw"
4,alternative,"substitute, traditional, choice, option, conventional, viable, suitable","ideologically-based, adult-friendly, non-chemical, less-favorable, non-prescriptive, community-centric, non-comparative, non-consistent, non-glamorous, less-technical","totalitarian, scarcities, scowl, reanalyse, submissive, diatribe, disbelieve, notion, inspirers, strife"
5,alternative,"substitute, traditional, choice, option, conventional, viable, suitable","ideologically-based, adult-friendly, non-chemical, less-favorable, non-prescriptive, community-centric, non-comparative, non-consistent, non-glamorous, less-technical","harmonise, usual, umbo, submissive, rashly, symbolistic, frustration, forbear, postulate, superhumanly"
5,alternative,"substitute, traditional, choice, option, conventional, viable, suitable","ideologically-based, adult-friendly, non-chemical, less-favorable, non-prescriptive, community-centric, non-comparative, non-consistent, non-glamorous, less-technical","cynism, duplicative, foolishness, inluence, amiable, such, scandalous, suppport, neutal, husbandman"
1,amaze,"mystify, stupefy, nonplus, appall, astound, fascinate, bemuse, perplex, beat, get, puzzle, pose, astonish, bewilder, dumbfound, horrify, vex, delight, astounds, gravel, flummox, amuse, baffle, stick","petrify, discover, mesmerises, out-thinking, bewilderment, trounce, infuriation, underrate, captivates, enthralls","palpitating, condescending, succint, conundrum, evasive, frustated, wannabee, compatiblity, inconsistent, comfortless"
4,ambiguous,"vague, imprecise, contradictory, unclear, problematic, equivocal, confusing","unnecessarilly, clear, inappropriate, unconclusive, muddleheaded, over-simple, overly-simplified, nondescriptive, discriptive, unmeaningful","ameliorate, miserliness, soldier, devout, vilely, estimate, disagreed, stopping, understand, disgraceful"
5,ambiguous,"vague, imprecise, contradictory, unclear, problematic, equivocal, confusing","unnecessarilly, clear, inappropriate, unconclusive, muddleheaded, over-simple, overly-simplified, nondescriptive, discriptive, unmeaningful","biohybrid, argumentativeness, discretions, cajole, reconnection, scanty, obfuscate, sufficent, cowardly, datable"
5,ambivalent,"distrustful, unsympathetic, uneasy, antipathetic, equivocal, unenthusiastic, disdainful, mistrustful","overcritical, adamant, aromantic, idealistic, leery, profoundly, apprehensiveness, contradictorily, over-opinionated, moody","festal, inequity, epiphenomenon, italicize, staying, frequence, reluctancy, mysteriously, repossess, upswell"
6,ameliorate,"lessen, reduce, rectify, counteract, improve, better, alleviating","sooth, extinguish, injustice, vitiate, allieviate, deflect, extent, detriment, impede, re-fix","reinterate, wise, disserve, nonconformist, typifies, incorrigibles, consonances, generosity, absurd, unappeased"
4,amendment,"ammendments, provision, proposal, legislation, bill","counter-statement, poison-pill, impeachement, provisory, bye-law, simple-majority, order-in-council, adjournment, government-proposed, open-meetings","extract, wordiness, impromptu, climaxed, hypokinetic, destory, overcautious, belligerent, manliness, sperate"
6,amicable,"cordial, respectful, harmonious, peaceful, conciliatory, congenial, acrimonious","wholesome, reciprocated, gregarious, unceremonious, honourable, unruffled, unconducive, well-balanced, evenhanded, blissful","virtuously, uncomfortable, bombmaking, amalgamating, equality, remodeling, villainous, expressed, caroused, ephemeral"
6,amicable,"cordial, respectful, harmonious, peaceful, conciliatory, congenial, acrimonious","wholesome, reciprocated, gregarious, unceremonious, honourable, unruffled, unconducive, well-balanced, evenhanded, blissful","narcissistic, shepherds, unconclusive, citated, gales, obsure, congenial, systemize, ravage, reformation"
4,amiss,"imperfectly, far, haywire, askew, overmuch, nothing, wrong, untoward, needful, unnoticed, awry","conspicuously, pointing, puzzled, forget, post-haste, somuch, post-chaise, avove, digust, keenly","preciousness, thriller, excavation, explicit, pursuaded, evasions, daunt, some, overmix, tactless"
1,amusing,"hilarious, mirthful, comical, comic, divert, laughable, funny, disport, humorous, risible, humourous","mischievous, semi-serious, ignorable, insteresting, cringy, annoyingly, amazing, horrifying, unprovocative, suprising","intricate, unsympathetic, euphonic, aftermath, insusceptible, unnnecessary, retrun, recomment, urbanized, entertaining"
6,anachronistic,"unhistorical, archaic, unhistoric, outdated, outmoded, ahistoric, antiquated, nonsensical, ahistorical","period-specific, over-generalised, neologistic, tautological, hyperbolical, incohesive, ill-thought-through, appropriative, extremistic, unworkable","collegial, outlay, aware, weakened, hyphenate, disempower, outlier, enhances, repond, habilitation"
5,analogy,"metaphore, logic, simile, comparison, implication, metaphor, argument, concept","explanation, cause-and-effect, interpretion, dual-aspect, termonology, corelation, presumtion, equivalence, conation, expession","praiseworthy, fanatics, effectivness, patronizing, stipulated, crystalize, inferred, reintegration, beautiful, renforçant"
1,analyze,"canvas, dissect, scrutinize, psychoanalyse, investigate, synthesize, identify, assess, summarize, examine, evaluate, study, canvass","obtain, refute, examing, essentialize, replicate, sift, cross-correlate, finalize, confirm, automatize","shriek, vexatious, outlay, biogenic, incrimination, permissibility, rile, lethal, amalgamate, flatterer"
3,analyze,"canvas, dissect, scrutinize, psychoanalyse, investigate, synthesize, identify, assess, summarize, examine, evaluate, study, canvass","obtain, refute, examing, essentialize, replicate, sift, cross-correlate, finalize, confirm, automatize","odious, yawn, lecturer, current, scoff, prebuttal, immediate, nearness, captious, enage"
5,analyze,"canvas, dissect, scrutinize, psychoanalyse, investigate, synthesize, identify, assess, summarize, examine, evaluate, study, canvass","obtain, refute, examing, essentialize, replicate, sift, cross-correlate, finalize, confirm, automatize","disperse, redivide, reallocating, cranky, adventurous, anticircumvention, concoct, containt, underwhelmed, westward"
4,anarchy,"chaos, dictatorship, despotism, mobocracy, lawlessness, tyranny, autocracy","anomie, unrestrained, rebellion, feifdom, majoritarianism, tribalism, theocracy, disunion, governability, anti-anarchist","respects, nonquantitative, tragical, tendency, delusionist, violate, interested, valuable, windspeed, breed"
5,anarchy,"chaos, dictatorship, despotism, mobocracy, lawlessness, tyranny, autocracy","anomie, unrestrained, rebellion, feifdom, majoritarianism, tribalism, theocracy, disunion, governability, anti-anarchist","lightless, indulgently, cowered, subtropical, surreptitious, ridicule, loving, burgher, precatalyst, blood"
6,anarchy,"chaos, dictatorship, despotism, mobocracy, lawlessness, tyranny, autocracy","anomie, unrestrained, rebellion, feifdom, majoritarianism, tribalism, theocracy, disunion, governability, anti-anarchist","intepret, thriftless, intangibles, outraged, semiprecious, thriftiness, insurrection, outland, disinvite, general"
6,anecdote,"hearsay, remark, story, annecdotes, tale, tidbit, allusion, apocryphal, factoid","hilarious, spuriousness, gratuitousness, re-telling, reference, plaint, commentry, ancedote, side-note, meta-commentary","unnameable, operationalize, intereting, bill, deplorably, confusing, comprhensive, impending, animate, innovation"
5,animosity,"hatred, antagonism, resentments, bitterness, antipathy, resentment","disappointment, anti-americanism, paranoias, admiration, disillusion, unreasoning, nastyness, touchiness, quarrelsomeness, xenophobia","relentless, interprete, indiciation, represention, purport, lonliness, cogitate, consequent, satiate, development"
3,announce,"proclaim, unveil, foretell, declare, denote, herald, harbinger","presume, back-date, prescheduled, suspend, invitiation, proclamation, declaimed, recontest, sugggest, sheduled","answer, sociometric, interrogate, unwarranted, obsequiousness, overmix, recontextualize, meliorate, citationless, roust"
1,annoy,"enrage, frighten, nettle, rile, irk, nark, irritate, embarrass, chafe, devil, rag, frustrate, bother, vex, infuriate, gravel, amuse, harass, offend","daunt, tease, persecute, baffle, thwart, outwit, grump, rankle, irritated, induce","countermovement, analytical, synergize, demote, militants, denote, indifferent, conceptualize, controvertial, complimentarity"
1,annoy,"enrage, frighten, nettle, rile, irk, nark, irritate, embarrass, chafe, devil, rag, frustrate, bother, vex, infuriate, gravel, amuse, harass, offend","daunt, tease, persecute, baffle, thwart, outwit, grump, rankle, irritated, induce","unusual, vigourous, castoff, quanity, emphemeral, corequisite, forestall, sway, unimpressive, resposibility"
6,anomaly,"flaw, error, quirk, phenomenon, discrepancy, glitch, oddity, aberration, outlier, abnormality","colatitude, post-eruption, backwardation, red-shift, mid-latitude, technicality, coincident, intrusion, difference, low-discrepancy","countermarch, references, worsen, militiary, surrended, presumption, reformulates, amoralist, subtleness, scared"
4,anonymous,,"unasked-for, un-redacted, semi-humorous, non-identified, well-known, un-credible, semi-valid, un-commented, mass-mailed, disgruntled","posterization, prudent, wordiness, instantaneity, disturbs, reforge, presuppose, nutjob, continuous, applaude"
6,anonymous,,"unasked-for, un-redacted, semi-humorous, non-identified, well-known, un-credible, semi-valid, un-commented, mass-mailed, disgruntled","flawless, delightful, inculcation, inflicts, solution, literate, perculiar, posttraumatic, prodemocracy, beccause"
6,antagonist,"adversary, opposer, opponent, villainous, resister, protagonistic, archvillain, nemesis, villain, villian","subverter, denouncer, prodrug, witcher, c1-inhibitor, co-plotter, adversaries, distorter, opposer, cholinergic","goof, arise, demonination, redemption, interchurch, transient, impluse, unstylish, preventive, limits"
4,antagonize,"infuriate, annoy, alienate, counteract, intimidate, irritate, enrage","toxify, insinuate, undermind, depress, energize, predispose, impress, ostracise, appeases, tranquilize","deaded, panarchy, disingenuous, defamations, eggregious, intersect, generally, identical, confusion, suprising"
4,anthology,"chapbook, compilation, novella, poems, poetry","co-edit, novelette, source-book, editon, masterwork, scrap-book, four-disc, monodrama, mini-essays, twelve-part","honorable, curiousness, meandering, typify, pester, criminalize, unbureaucratic, fraternise, confederal, narcissitic"
3,anticipate,"envisage, foretell, respond, predict, intend, foreseeing, promise, foresee, forestall, call, forebode, counter, realize, expect, envision, foreknow, forsee, previse","comprehend, future, hasten, back-track, sympathize, wish, incure, surprise, unpredicted, expectorate","scowling, expose, analyze, atribute, archaeological, reconnections, gems, unconditional, inaccurate, descriptions"
3,anxious,"dying, apprehensive, queasy, uneasy, fearful, frightened, unquiet, worried, eager, fretful, unhappy","enervated, tearful, sharp-minded, indignant, tender-hearted, weak-kneed, jealous, diffident, reticent, short-tempered","confrontative, fabulousness, gruesomeness, organized, unjustness, verbosity, treasured, transcendently, enage, targetman"
4,apathy,"cynicism, disinterest, disillusionment, spiritlessness, numbness, disenchantment, passivity, complacency, lethargy, indifference, hopelessness","underhandedness, outrage, cynism, indifferentism, short-termism, attitude, foolishness, naivete, petty-mindedness, mediocracy","summarized, meak, zigzagging, inconsequence, illustrates, custom, quirkiness, clore, nowwhere, bloodthirst"
6,appall,"sadden, scandalize, astound, scandalise, exasperate, bemuse, outrage, astonish, terrify, dumbfound, bewilder, horrify, shock, astounds, alarm, dismay, offend","short-change, misguides, pig-ignorance, near-inevitable, embarras, horrifying, shockers, dishearten, happy-face, mystify","incontrovertible, unlogical, informative, resisting, dumbfounding, assertion, inluence, embellish, nonredundant, declaimed"
4,apprehend,"compass, collar, nab, subdue, discern, grok, cop, ascertain, savvy, dig, interrogate, nail, arrest, detain, grasp, elude, unapprehended","ill-treat, re-act, acknowledge, inform, suspected, ingratiate, entreat, outsmart, reck, immobilize","repercussion, meal, sexualise, phony, landholder, succinctness, complicity, nonquantitative, extra, bylines"
3,approach,"method, overture, strategy, perspective, way, access, feeler, near, attack, technique, methodology, coming, advance","attitide, design, threshold-based, complimentarity, figure-out, ideal, time-oriented, phase-based, problem-focused, instance-based","devastating, suspensive, traces, densify, consequence, eat, declare, urbanistic, subcircular, expession"
2,approached,"arrived, sought, advised, near, stepped, turned, confronted, contacted","half-turned, critcized, re-approach, sought-out, invited, lessoned, repped, disagreed, resolved, consulted","undiscriminating, intollerant, conlusion, splutter, missunderstand, respectful, then, sentence, durational, wretched"
3,appropriate,"seize, proper, allow, earmark, necessary, acceptable, relevant, conquer, capture, reserve, suitable","direct, duplicable, case-specific, meritous, good, period-correct, copiable, sutible, adjustive, accuarate","insidious, narcissistic, affable, talked, amount, unabashed, aggravated, reanalyze, divergence, archaic"
3,approval,"authorization, blessing, commendation","amendation, mandation, apointment, re-designation, officially-approved, endorsment, re-audit, notifcation, interministerial, guidance","preposterous, notion, derange, unfazed, rescinds, impassive, counterprotest, both, unmown, notifcation"
3,approximate,"estimated, near, judge, roughly, exact, guess, rough, gauge, aproximation","near-light, pre-established, indetermined, mark-down, invarient, half-correct, correponding, cutpoint, prorating, super-maximum","remeasuring, skyglow, vigilant, appetizing, symbolise, bitterness, inconstancy, unappealing, unanimous, enfore"
5,approximate,"estimated, near, judge, roughly, exact, guess, rough, gauge, aproximation","near-light, pre-established, indetermined, mark-down, invarient, half-correct, correponding, cutpoint, prorating, super-maximum","reproves, invaluable, demotivate, epitomizes, hydrographs, businessman, savviest, unstopable, conceded, inapplicable"
5,arbitrary,"random, unwarranted, unjustified, unreasonable, capricious, unjustifiable","ill-formed, unspecifiable, over-inclusive, strange, loosely-defined, chaotic, nonintuitive, unvalid, sub-trivial, inapplicable","forbear, methodology, outcry, coastal, wisdom, repect, supposition, reined, exmple, grumblings"
6,archaic,"antediluvian, outdated, obsolete, outmoded, anachronistic, modern, antiquated, ancient, primitive","unnameable, narrow-minded, esoteric, over-complex, unstylish, non-mythical, fanciful, euphonic, nonsensical, male-centric","face, inculcate, proclaiming, false, disinvited, supportive, side, society, meeker, deceptiveness"
6,arduous,"punishing, difficult, straining, lengthy, operose, grueling, toilsome, hard, backbreaking, gruelling, heavy","18-hour, drama-filled, hellish, trial-and-error, 27-hour, busy-work, impossible, three-month-long, over-lengthy, tortuously","anodyne, neurotic, appealingly, upbeat, cluttery, sweltered, alterate, aweful, trickledown, propagate"
2,argue,"reason, suggest, indicate, say, debate, contend, assert, disagree, concede, fence","reject, cite, reargued, see, opppose, know--but, re-state, vehemently, reassert, pointful","disingenuousness, inconspicuous, adapt, sluggishly, trader, summate, taxs, anomoly, underpinning, desalinate"
2,argued,"noted, asserted, reason, concluded, contended, indicate, debate, contend, suggested, explained, conceded, fence","acknowleged, disproved, reflected, reargue, highlighted, enounced, re-asserted, expressed, back-tracked, re-examined","scarcities, reason, continues, naval, truckle, hide, prearranged, purchase, polititians, comparable"
3,argument,"line, contestation, disceptation, debate, parameter, tilt, counterarguments, controversy, contention, disputation","discussion-, policy-backed, falacy, resoning, poicy, debate-, re-iteration, non-evidence, re-statement, critique","preferrence, caustic, initialise, rube, accusatory, conventionalist, falacy, baneful, toilsome, submariner"
6,arid,"desolate, inhospitable, waterless, humid, desert, desiccate, desiccated, barren","wasteland, desolated, climatically, urbanized, rural, unpeopled, far-west, savanna, sub-alpine, wooded","quizzical, blatent, highish, totter, retrun, confront, circuitous, inspire, dispassion, burred"
2,arrange,"set, coiffe, do, coordinate, stage, assemble, coif, order, organise, prepare, organize, format, supervise, dress, put, coiffure","trun, conduct, customise, retrive, seak, touse, get, harmonise, permit, assist","atttention, falacy, altruistic, passioned, desalinate, supremist, embarrassment, organology, subcontract, disloyalty"
1,arranged,"set, coiffe, do, ordered, stage, organised, organized, coif, order, format, dress, put, prepared, coiffure","brought, implemented, wangled, submitted, suplied, sought, sumed, sticked, re-offered, indorsed","instabilities, blatent, blockings, quest, jettison, interjurisdictional, refocusing, moralize, unrelenting, shake"
6,articulate,"word, vocalise, phrase, perceptive, pronounce, vocalize, enounce, eloquent, cogently, joint, cogent, say","deep-thinking, polite, distinctly, combatative, illuminative, well-educated, thematize, recognizable, well-defined, carinate","trader, rescue, guess, item, mesmerist, prevaricator, resentments, complusory, remarkable, dorayaki"
3,artifact,"archeologically, archeological, archaeological, unprovenanced, protohistoric, archeologic, relic, item, amulet","aspect, shard, glyptic, excavation, scarabs, treasure-hunt, coin-like, object-like, sculpture, debitage","devastation, muckraker, efface, conceivably, retracted, flimsiest, provokes, opportunites, slice, conceed"
5,assiduous,"dilligent, indefatigable, tireless, diligent","broad-minded, open-mind, devotion, fair-mindedness, extensive, well-schooled, well-doing, intrepid, good-humor, unstinting","system, lift, interviwed, stuff, cardiotoxic, interesting, conceptualize, honours, lengthly, scowl"
