difficulty,question,related,random,answers
2,additional,"substatial, interational, limited, various, occasional","startle, disingenuous, downfalls, throughline, tranfer, insincere, descrive, prohibitions, happenstance, warmonger",extra
3,adequate,"detailed, rigorous, necessitates, fair, lacks, comfortable, requestable","masterwork, serene, misanthropist, annoy, maladaptation, implement, opportunites, succinct","enough, sufficent"
3,adjacent,"bayshore, central, portions, separated, opened","diversed, gaslights, indiciate, governable, reified, gratuitous, fascination, slay, outline","abutting, contiguous"
4,admonish,"advises, claify, supplicate, dare, embolden, persuade, suggest, remind, implore, caution","furnish, precice, gruesomeness, flavourful, communicating, ruthless, rebell, interact, forecast, exerience","chasten, chide"
6,adulation,"attention, pomp, unpopularity, imperiousness, ostentation, impertinence, largesse, sycophantic, flattery","unbend, breakdown, unload, solicit, bewilders, collectiveness, common, astounded, romanist",acclaim
6,adversity,"compassion, debilitating, success, ordeals, inury, relentless, sufferings, endure, fortitude, overcoming, perseverance","nonjudicial, ask, inspirers, inert, biometrically, parallel, horrify, bonhomie, ruin","trouble, hardship"
5,advocate,"reasearcher, conﬂict, prolife, disagress, targeter","unflagging, supped, want, stifling, bombmaking, specifics, patriarchial, periodicities, homogenize","expouse, proponent, counsel"
6,aesthetic,"practical, ecocritical, subcultural, monumentalism, anatomical","interdependant, stealin, excempt, italicize, sponsorships, pooped, hoodwink, meet, hypocritcal, impugn","artistical, elegant, stylish"
4,affiliation,"sponsorships, sponsors, demonination","amendation, sculpture, fireless, perceptional, interpolative, curtailed, resentful, dickery, unpremeditated, compellence","membership, allegiance"
6,affinity,"mindedness, correlation, homogeneity, reactivity, mystical, effciency","deacons, aggregious, naive, obtain, desultory, confute, coorporate, accommodate, dimunition, victimize","kinship, relation"
4,agitate,"promote, resist, bestir, sensitise, mystify, percolate, balkanise, embarass, seethe, orientate","uninterested, infrequent, intermittent, hurting, read, characteristic, unflagging, catalyze, charitable, peerless","shake, foment, disturb"
2,agreeable,"appropriate, excellent, portentious, well-balanced, open-hearted, understable, unharmonious, sane","triality, universalise, omnipresent, manic, dumbfound, chocked, meet, innocently, vapid, ostentatiousness","congenial, pleasant"
4,allege,"evidence, polict, adjudge, admit, mis-represent, mis-treatment, counterclaims, fraudulently, persuassion, justify","bafflement, reinsert, quell, godlike, whole, discusson, variety, curmudgeon, depressed, liturgy","insinuate, implicate"
5,alleviate,"disbalance, deepen, optimize, stabilise, difuse, anguish, aggravated, overstimulate, sufferring","magnify, necessitate, recognises, pastor, delusionary, contacted, counternarrative, websearching, nonconceptual, unrest","assuage, relieve"
4,allocate,"efficiently, locate, subsidize, use, maintain, receive, discretize, proportionally, borrow","either, renowned, uncapable, lineation, write, deny, bureaucratize, narcotics, comprising, properity","apportion, assign"
6,altercation,"contretemps, verbal, interruption, spare, knife","perpetual, begrudging, outproduce, coordination, receptive, valuative, redemptive, systemize, improvement","scuffle, fracas"
4,alternative,"ideological, friendly, chemical, favorable, prescriptive, community","leftists, raffish, irritation, tortuously, converging, leason, faithful, malignity, protists, commonlaw","substitute, option"
1,amaze,"petrify, discover, thinking, bewilder, trounce, infuriation, underrate","palpitating, condescending, succint, conundrum, evasive, frustated, wannabee, compatiblity, inconsistent, comfortless","fascinate, astonish"
4,ambiguous,"unnecessarilly, clear, inappropriate, inconclusive, nondescriptive, discriptive, unmeaningful","ameliorate, miserliness, soldier, devout, vilely, estimate, disagreed, stopping, understand, disgraceful","vague, unclear"
5,ambivalent,"overcritical, adamant, aromantic, idealistic, leery, profoundly, apprehensiveness, moody","festal, inequity, epiphenomenon, italicize, staying, frequence, reluctancy, mysteriously, repossess, upswell",equivocal
6,ameliorate,"extinguish, injustice, deflect, extent, detriment, impede","reinterate, wise, disserve, nonconformist, typifies, incorrigibles, consonances, generosity, absurd, unappeased","lessen, reduce, improve"
4,amendment,"impeachement, provisory, bye-law, adjournment, proposal","extract, wordiness, impromptu, climaxed, hypokinetic, destory, overcautious, belligerent, manliness, sperate","revision, modification"
6,amicable,"wholesome, reciprocated, unceremonious, honourable, unruffled, unconducive, evenhanded, blissful","virtuously, uncomfortable, amalgamating, equality, remodeling, villainous, expressed, caroused, ephemeral","harmonious, congenial"
4,amiss,"conspicuous, pointing, puzzled, forget, avove, digust, keenly","precious, thriller, excavation, explicit, pursuade, evasions, daunt, some, overmix, tactless","askew, wrong, untoward, awry"
1,amusing,"mischievous, ignorable, insteresting, annoyingly, amazing, horrifying, unprovocative, suprising","intricate, unsympathetic, euphonic, aftermath, insusceptible, unnnecessary, retrun, recomment, urbanized, entertaining","mirthful, comical, funny, humorous, risible"
6,anachronistic,"neologistic, tautological, hyperbolical, incohesive, appropriative, extremistic, unworkable","collegial, outlay, aware, weakened, hyphenate, disempower, outlier, enhances, repond, habilitation","unhistorical, archaic, ahistoric"
5,analogy,"explanation, interpretion, termonology, corelation, presumtion, equivalence, conation, expession","praiseworthy, fanatics, effectivness, patronizing, stipulated, crystalize, inferred, reintegration, beautiful, renforçant","similitude, likeness"
1,analyze,"obtain, refute, essentialize, replicate, sift, finalize, confirm, automatize","shriek, vexatious, outlay, biogenic, incrimination, permissibility, rile, lethal, amalgamate, flatterer","scrutinize, investigate, examine, evaluate"
4,anarchy,"feifdom, tribalism, theocracy, disunion, governability","respects, nonquantitative, tragical, tendency, delusionist, violate, interested, valuable, windspeed, breed","chaos, lawlessness"
6,anecdote,"hilarious, spuriousness, reference, plaint, commentry, ancedote, commentary","unnameable, operationalize, intereting, bill, deplorably, confusing, comprhensive, impending, animate, innovation","story, tale"
5,animosity,"disappointment, paranoias, admiration, disillusion, unreasoning, touchiness","relentless, interprete, indiciation, represention, purport, lonliness, cogitate, consequent, satiate, development","hatred, antagonism, antipathy"
3,announce,"presume, prescheduled, suspend, invitiation, recontest, sugggest, sheduled","answer, sociometric, interrogate, unwarranted, obsequiousness, overmix, recontextualize, meliorate, citationless, roust","proclaim, herald, declare"
1,annoy,"tease, baffle, thwart, outwit, rankle","countermovement, analytical, synergize, demote, militants, denote, indifferent, conceptualize, controvertial, complimentarity","irk, irritate, bother"
6,anomaly,"technicality, coincidence, intrusion, difference","countermarch, references, worsen, militiary, surrended, presumption, reformulates, amoralist, subtleness, scared","quirk, oddity, outlier"
4,anonymous,"non-identified, un-credible, semi-valid, mass-mailed","posterization, prudent, wordiness, instantaneity, disturbs, reforge, presuppose, nutjob, continuous, applaude","unknown, unidentified"
6,antagonist,"subverter, co-plotter, distorter, opposer","goof, arise, demonination, redemption, interchurch, transient, impluse, unstylish, preventive, limits","opponent, adversary"
4,anthology,"novelette, source-book, masterwork","honorable, curiousness, meandering, typify, pester, criminalize, unbureaucratic, fraternise, confederal, narcissitic",compilation
3,anticipate,"hasten, sympathize, wish, surprise","scowling, expose, analyze, atribute, archaeological, reconnections, gems, unconditional, inaccurate, descriptions","predict, foresee, expect, envision"
3,anxious,"enervated, tearful, jealous, reticent","confrontative, fabulousness, gruesomeness, organized, unjustness, verbosity, treasured, transcendently, enage, targetman","apprehensive, uneasy, worried, fretful"
4,apathy,"indifferentism, naivete, mediocracy","summarized, meak, zigzagging, inconsequence, illustrates, custom, quirkiness, clore, nowwhere, bloodthirst","disinterest, indifference"
6,appall,"short-change, misguides, pig-ignorance, near-inevitable, embarras, horrifying, shockers, dishearten, happy-face, mystify","incontrovertible, unlogical, informative, resisting, dumbfounding, assertion, inluence, embellish, nonredundant, declaimed","scandalize, outrage, dismay, offend"
4,apprehend,"ill-treat, re-act, acknowledge, inform, suspected, ingratiate, entreat, outsmart, reck, immobilize","repercussion, meal, sexualise, phony, landholder, succinctness, complicity, nonquantitative, extra, bylines","collar, nab, arrest"
3,approach,"attitide, design, threshold-based, complimentarity, figure-out, ideal, time-oriented, phase-based, problem-focused, instance-based","devastating, suspensive, traces, densify, consequence, eat, declare, urbanistic, subcircular, expession","access, technique, method"
2,approached,"half-turned, critcized, re-approach, sought-out, invited, lessoned, repped, disagreed, resolved, consulted","undiscriminating, intollerant, conlusion, splutter, missunderstand, respectful, then, sentence, durational, wretched","sought, contacted"
3,appropriate,"direct, duplicable, case-specific, meritous, good, period-correct, copiable, sutible, adjustive, accuarate","insidious, narcissistic, affable, talked, amount, unabashed, aggravated, reanalyze, divergence, archaic","seize,  capture, reserve, suitable"
3,approval,"amendation, mandation, apointment, re-designation, officially-approved, endorsment, re-audit, notifcation, interministerial, guidance","preposterous, notion, derange, unfazed, rescinds, impassive, counterprotest, both, unmown, notifcation","authorization, blessing, commendation"
3,approximate,"near-light, pre-established, indetermined, mark-down, invarient, half-correct, correponding, cutpoint, prorating, super-maximum","remeasuring, skyglow, vigilant, appetizing, symbolise, bitterness, inconstancy, unappealing, unanimous, enfore","estimate, judge, roughly "
5,arbitrary,"ill-formed, unspecifiable, over-inclusive, strange, loosely-defined, chaotic, nonintuitive, unvalid, sub-trivial, inapplicable","forbear, methodology, outcry, coastal, wisdom, repect, supposition, reined, exmple, grumblings","random, unjustified, unreasonable, capricious"
6,archaic,"unnameable, narrow-minded, esoteric, over-complex, unstylish, non-mythical, fanciful, euphonic, nonsensical, male-centric","face, inculcate, proclaiming, false, disinvited, supportive, side, society, meeker, deceptiveness","ancient, antiquated"
6,arduous,"18-hour, drama-filled, hellish, trial-and-error, 27-hour, busy-work, impossible, three-month-long, over-lengthy, tortuously","anodyne, neurotic, appealingly, upbeat, cluttery, sweltered, alterate, aweful, trickledown, propagate","toilsome, hard"
2,argue,"reject, cite, reargued, see, opppose, know--but, re-state, vehemently, reassert, pointful","disingenuousness, inconspicuous, adapt, sluggishly, trader, summate, taxs, anomoly, underpinning, desalinate","contend, debate"
3,argument,"discussion-, policy-backed, falacy, resoning, poicy, debate-, re-iteration, non-evidence, re-statement, critique","preferrence, caustic, initialise, rube, accusatory, conventionalist, falacy, baneful, toilsome, submariner","debate, contention"
6,arid,"wasteland, desolated, climatically, urbanized, rural, unpeopled, far-west, savanna, sub-alpine, wooded","quizzical, blatent, highish, totter, retrun, confront, circuitous, inspire, dispassion, burred","inhospitable, waterless, desert"
2,arrange,"trun, conduct, customise, retrive, seak, touse, get, harmonise, permit, assist","atttention, falacy, altruistic, passioned, desalinate, supremist, embarrassment, organology, subcontract, disloyalty","set, coordinate, stage, organise"
6,articulate,"deep-thinking, polite, distinctly, combatative, illuminative, well-educated, thematize, recognizable, well-defined, carinate","trader, rescue, guess, item, mesmerist, prevaricator, resentments, complusory, remarkable, dorayaki","say, pronounce"
3,artifact,"aspect, shard, glyptic, excavation, scarabs, treasure-hunt, coin-like, object-like, sculpture, debitage","devastation, muckraker, efface, conceivably, retracted, flimsiest, provokes, opportunites, slice, conceed","archeologic, relic, vestigial"
5,assiduous,"broad-minded, open-mind, devotion, fair-mindedness, extensive, well-schooled, well-doing, intrepid, good-humor, unstinting","system, lift, interviwed, stuff, cardiotoxic, interesting, conceptualize, honours, lengthly, scowl",diligent
4,assimilate,"evaluate, americanize, apply, reify, de-motivate, negate, infiltrate, conciliate, bureaucratize, replicate","remmber, enunciate, intuitionist, reasearched, necessary, point, intimidated, friendship, transitory, hightened","absorb, internalize, imbibe"
2,assist,"check-mate, support-group, superintend, orient, propitiate, spearhead, enables, up-start, vacuum-assisted, funtioning","frustrated, selfreference, epitomize, sadly, militants, incriminates, deniable, abjure, impetuosity, reiable","aid, help"
4,assumption,"predications, correllation, over-estimates, implicature, inherency, model-dependent, specularity, non-question, defininition, true","biospheres, familar, profuse, inappropriate, guerilla, grip, commander, restrospective, behing, incite","belief, presumptions, premise"
6,astute,"outspoken, ambitious, well-experienced, supersmart, gutsy, passionate, cocksure, deep-thinking, eruditely, cleverer","idential, chucklehead, ferocious, poise, meritless, slackens, lateral, disolve, year, intransigent","sharp, sagacious, shrewd"
6,asylum,"reeducation, refugees., reeducation-through-labor, institutionalisation, inadmissibility, social-security, safe-passage, hellhole, reinstitution, post-hospitalization","coincident, administrater, incisive, fatuousness, agrees, descriptional, squelched, introduce, wikicommunity, destroy","sanctuary, refuge"
1,attention,"pertinence, bringing, apprehensiveness, direct, concentrate, reation, imaginativeness, response, participation, concentrating","pious, modulate, covergae, enflames, pitmaster, advocative, demilitarise, preciosity, unappropriate, cheering","focus, scrutiny, spotlight"
2,attract,"rile, professionalise, upsell, sensitise, coopt, reinvigorate, rub-off, misdirect, increase, prevent","unworried, gracefulness, institutionalisation, restriction, follower, dismission, iguess, induce, inviable, stepsize","pull, entice, lure"
4,attribute,"highlight, implie, mixure, fount, mis-represent, factorise, inherant, visiblity, quote, linkify","unsurprised, involutional, inflate, unspoilt, institutionalisation, resistless, grin, trustable, rebellions, unncecessary",property
4,audacious,"exhilarating, playful, self-assertive, unabashed, bombastic, heavy-handed, opportunistic, unclever, adventuresome, offbeat","debater, sensitive, passionate, credibility, practise, detesting, rapprochement, unpoetic, reconfirm, agree","brazen, daring, bold"
5,augment,"produce, re-expand, reconceive, dampen, magnify, complementing, universalize, reinstate, reequip, potentiate","acquiescence, fully, amorphous, unsanctioned, gleaned, unintuitive, consulted, undoable, reguard, indulgently","expand, enhance, improve"
4,authentic,"non-ritual, flavorful, sophisticated, self-ironic, idential, creditable, honest, soulful, honest-to-god, ethically-sourced","threatened, intransigent, upheaval, purgation, bedlam, its, trisecting, tranclude, reasearcher, impracticality","veritable, genuine, reliable"
6,authoritarian,"state-control, liberatarian, leftist, hegemonistic, neo-communist, hierarchical, draconian, anti-communist, puritanical, egalitarian","suggest, reivew, quandaries, mellifluous, lightness, axiomatic, muttering, depicting, similary, normall","dictatorial, overbearing, tyrannic"
4,authority,"discretional, officialise, administrability, sub-delegation, correspondency, administrator, gence, confirmability, dimunition, power-holders","pragmatic, scences, delaminate, detriments, subtle, remunerate, valuative, petulance, unrepented, intrusive","legitimacy, jurisdiction, power"
2,automatically,"popularily, discontinuously, electronically, legitimatly, programmatically, stricktly, unintentionally, receptively, always, explicitly","feeble, expressionist, downplays, plentifully, coziness, denote, seeing, superintend, usefulness, sadness","instantly, immediately"
6,aversion,"impatience, affectional, uneasiness, non-comprehension, obstinancy, inconstancy, malignity, rancour, negativity, habituation","interest, predications, satisify, characterize, optimize, unheroic, passiveness, supporter, eat, fortuitous","antipathy, repugnance, hostility"
4,avid,"technophiles, prolific, hobbiest, fun-seeking, hawk-eyed, bespectacled, civic-minded, erudite, jaded, art-loving","plentitude, nicest, reoccurred, infringements, used, negociate, publicize, imprudent, gentle, debater","diehard, enthusiastic, ardent"
1,avoid,"dis-respect, overextend, introduce, simplify, forget, muddle-through, facilitate, pre-empt, restabilize, stratergy","nature, blockings, retrun, verbatim, predispose, noncontingent, infuriatingly, prodemocracy, inhospitable, unnecessary","prevent, obviate, eliminate, avert"
4,bamboozle,"flapdoodle, cognoscente, fooled, mollycoddle, motor-mouth, grift, nobble, slither, deludes, bogyman","extravagant, unfriendly, regard, publish, useles, thwart, trembly, awful, rewarding, advocative","befuddle, hoodwink, outfox"
4,ban,"forbidding, censure, lift, sanctions-related, mandate, edict, rescinds, blockings, ruleing, block-free","climaxed, powerless, forced, unfeasible, happed, enlightened, submissive, recognize, blackguard, restful","blackball, prohibition, shun"
4,belligerent,"unobjective, short-tempered, resentful, nazi-like, non-co-operative, exhibitionistic, anti-royal, overly-aggressive, unsympathetic, warmonger","neednt, mesmerises, disinvited, programmatically, sardonic, generous, deferential, pedantic, proposal, traitor","combatant, warring, aggressive"
5,beneficial,"interest-related, enevitable, praiseworthy, nonrelevant, non-successful, super-helpful, problematical, less-favorable, efficient, self-obvious","arguable, happenstance, overprotect, separate, damned, annecdotes, affability, spect, reprotect, bootless","worthwhile, advantageous, helpful"
6,benevolent,"fair-minded, man-like, all-wise, pacifistic, overbearing, indulgent, chivalrous, community-minded, disinterested, poweful","description, diversed, obedient, chunking, joyously, bluntness, monodrama, slight, abusive, desrves","compassionate, charitable, merciful, sympathetic"
4,bewilder,"discomfiture, guileless, startle, unsnarl, frazzling, unconcernedly, ill-minded, unknowing, enrages, unskilful","charitable, portend, advisor, unimpressed, intercommunity, impacts, growing, already, complication, incease","confuse,     mystify, stupefy"
4,bias,"disfunctionality, mistruth, exlusion, mis-interpretation, pov-oriented, prejorative, exagerrate, high-handedness, subjectiveness, anti-minority","freedome, ridiculousness, tendencious, rewatched, wannabee, stupor, conversed, intimidated, shocked, subcontext","partiality, preconception"
4,bisect,"abuts, cross-river, triangularly, re-compute, digons, half-bridge, zig-zags, suberect, crossable, repave","proliferate, overtures, monarchal, masturbation, fable, lumpsum, patronise, dorayaki, expend, disaprove","cut across, cleave"
4,bizarre,"banal, abhorrent, incredibley, semi-plausible, stupid, semi-reasonable, ludicrousness, out-of-the-ordinary, stomach-turning, no-less","suitable, exculpated, stupendous, presumptuous, unicity, detachment, trustful, energetic, dignity, help","odd, unusual, strange"
5,bolster,"prime-boost, re-enforces, supplant, supplement, reassure, augmenter, lend, enhanced, credibility, uphold","protest, confronted, ramble, irremediable, peerless, noncitizen, semiautomatically, somnolent, hailed, schematics","boost, enhance, improve, reinforce, augment, buttress, strengthen"
2,border,"recrossing, front, no-mans, re-cross, anti-smuggling, battle-torn, schengen, boundary-setting, razor-wire, strip","decipher, easily, justifications, extirpate, kill, wavery, governmant, nanogenerator, soften, comparision","edge, margin, frontier, bound"
4,boycott,"lovebombing, die-ins, sensorship, blockade-running, decertification, injuction, madate, non-participation, unsanctioned, denouncements","fastidious, unusuable, transfix, honesty, quaterly, predetermination, sigh, betrayal, inexistence, prohibit"," snub, spurn, avoid"
6,brevity,"frankness, wittiness, quirkiness, expandability, necessity, graciousness, effectiveness, vapidity, felicity, preciousness","sleep, misanthropist, rematerialize, incentivization, notify, asymmetrical, underplay, temperment, negotiate, curtsying","conciseness, briefness, succinctness"
3,briskly,"primly, incisively, good-humouredly, shyly, excitedly, amble, listlessly, cagily, joyously, exuberantly","denies, reintegrate, downplays, sumarise, interpration, impact, admendment, forgo, organised, biased","swiftly, rapidly"
5,bureaucratic,"military-industrial, economistic, secret-police, economic, semi-religious, profit-driven, demagogical, political-ideological, foot-dragging, hierarchal","equicontinuous, perusal, cooperatively, beefiest, typically, surmised, oposite, strage, strangely, juxtapositioning","administrative, rigid"
6,cajole,"arm-twisted, try, solicit, plead, blackmails, indoctrinate, galvanise, spoon-feed, stifle, fool","exponentiate, amazement, forewarnings, restabilize, area, procrastinates, postulates, unconcerned, expatriots, reappear","inveigle, tempt, entice, coax"
2,calculate,"reverify, equilibrate, locate, coordinate, complexify, conceptualize, interprete, thermalize, reconcile, figure","delight, aquamarine, shush, executive, visual, heretical, propitiate, unveil, mocks, postmaster","account, count, reckon, compute"
6,callous,"ill-thought, self-obsessed, duplicitous, hamfisted, intolerant, gratuitous, disingenious, detestable, hypocritcal, ill-informed","turgid, checklist, archeological, remedy, coprecipitation, descrive, ingnore, underwrite, exhilaration, rejected","unfeeling, cruel, heartless, uncaring"
1,calm,"carefree, safe, relax, upbeat, gentleman-like, circumspect, fretful, resolve, seclusive, trance-like","sufficiently, compellence, brusque, versal, refugees., italicize, indiscernible, trustable, wouold, contempoary","sedate, tranquil, quiet, peaceful, cool, unruffled, serene, still"
6,camaraderie,"sociality, coziness, corniness, specialness, raffish, instills, open-ness, manliness, instils, ebullience","verfiable, respond, touse, dispiriting, infuriated, outrageous, coincidental, displease, counteraction, conside","togetherness, chumminess, friendship, collegiality, bonhomie"
4,capable,"well-positioned, recruitable, temperamentally, broadminded, powere, resiliant, possessing, loving, self-disciplined, forbearing","consigning, uncompromised, strong, collected, untoward, lugubrious, durst, unharmonious, churchly, mutter","adept, competent"
6,capitulate,"procede, compel, euphemise, excommunicate, resisting, flay, disinvest, repeate, appease, redivide","distance, jealous, africa, feared, egotistic, habitated, slow, traces, reccomend, portray","acquiesce, accede, surrender, concede, succumb"
2,careless,"cowardly, over-exuberant, timid, shiftless, indisciplined, infelicitous, uncreative, ill-researched, over-the-line, uncared","reconvicted, behavious, trundle, disunion, inside, republish, relinquish, pointing, noncredible, sacrilege","incautious, sloppy, negligent, injudicious"
6,catalyst,"vindicator, electrolyzers, co-stimulatory, solvolysis, bridge-builder, carboxylate, breakthrough, electrochemist, nanogenerator, alkyne","bolden, incitement, usefulness, refind, nonviable, uncovers, rase, imprudent, destigmatize, ironist","initiator, accelerator, motivator"
3,catastrophe,"devastates, world-shaking, storm, dreadful, katrina-like, ruin, revolution, fateful, super-eruption, meltdowns","faithful, phonologic, affable, appear, reprioritization, agreeable, analytical, goad, moody, pursuasive","calamity, disaster"
6,catharsis,"reverie, freudian, stress-buster, phantasmagoric, dramaturgy, zen-like, hyper-violent, revelational, anguish, masochistic","far, retransfer, intellectualised, reverance, republish, sporatic, unsuppressed, probably, largesse, humanoids","purgation, purification, cleansing"
1,cause,"rub-off, impling, potenial, accure, for, misconceive, ragequit, rise, affectent, dirrect","linkify, popish, signifcance, assist, periodogram, differences, debilitatingly, zigzagging, envelop, modernism","reason, origin"
6,caustic,"illuminative, supercilious, less-than-friendly, condescending, disparaging, imperious, emotion-laden, pot-stirring, foul-tempered, pugnacious","singularly, incremental, muttering, agregate, shadows, references, superstrong, pithy, estimate, predeployment","acid, virulent, acrid, acerbic"
3,cease,"thereafter, distrupt, re-acquire, reqire, countersue, contunue, temporize, suffer, demutualise, re-authorize","prominate, pipedreams, pedantic, paradoxon, counteraction, transparence, satiate, plagerize, popularization, demonize","desist, end, finish, terminate, discontinue, quit, stop"
6,censure,"desreve, repugnance, castigate, dount, reimpose, hasting, ostracise, ignominy, ensurance, re-action","burble, welling, poition, plaçant, apprciate, inexperienced, maligning, requote, irreproachable, overbearing","rebuke, reprimand"
4,characterize,"reemphasize, familarize, bowdlerize, expose, recharacterized, encapsulate, appraise, underemphasize, descrive, educe","understander, distinctly, verbalise, perturbed, symbolize, uninvited, surprises, tortuously, placid, plunderer","classify, quantify, describe, define, qualify, identify"
6,chastise,"abase, insult, blame, misbehave, condemming, blamelessly, badmouths, presumptuously, gratify, urge","attept, exent, activist, distraction, recontest, soulful, particular, joy, gratified, restless","correct, criticize, lambaste, chide, admonish"
6,circuitous,"solipsistic, tunnel-like, heavy-going, seclusive, logical, short-cutting, exhaustive, paper-intensive, inexhaustive, route-finding","commens, consigns, portayal, veriable, unpersuasive, quest, enables, aspect, deceit, disconnect","digressive, roundabout, convoluted, longwinded"
2,circular,"book-shaped, close-set, crater-like, t-shaped, globe-shaped, x-shaped, flag-like, spiracular, flimsy-looking, two-sided","maximun, reinclude, stick, organization, prodrug, partnership, rembered, narrate, foments, permit","round, rotary, annular"
5,circumvent,"loophole-ridden, distrupt, palliate, finagle, avoidence, neutralize, double-vote, hide, abolish, subvertising","smile, unsatisfactorily, unpremeditated, dawdle, obedient, disanalogy, informalities, interisting, malevolent, plucky","skirt, evade, bypass, sidestep, elude,"
3,citizen,"emigree, settler, imigrant, taxpayer, non-worker, employeed, polititians, landholder, landsman, foot-soldier","gravitated, intensify, destine, faltering, valorize, orgin, nanogenerator, see, reckonings, notion","resident, national"
3,civilization,"rapaciousness, space-faring, world-and, culturism, post-industrialism, anti-culture, militarism, backwardness, pre-european, -history","decompensate, subliterate, superannuated, researching, extremistic, considerately, allured, thermalize, solvolysis, indirections","culture, refinement"
3,claim,"say, accusal, explnation, declarants, verify, denies, despute, allegdly, misrepresention, poice","traceable, whacked, overwhelm, hardy, technology, found, jolly, hunkered, flee, untruthful","assert, take"
6,clairvoyant,"mind-controlling, poltergeists, madwoman, magus, malevolent, intuitionist, menteur, pseudo-skeptic, mad-scientist, mythologist","souling, travel, menteur, militarise, sensitise, commercialize, widespread, furure, turned, nitpick"," seer, oracle"
6,clamor,"disdain, whir, burble, insistent, indignation, soap-bubble, gabble, squelched, hoo-hah, rambunctiousness","damned, source, chugged, crise, unrest, cohere, categorise, decisiveness, risks, disgust","rumblings, outcry, din"
1,classify,"examine, verify, infer, compartmentalize, individualise, reject, declare, select, perceive, misclassifying","portend, stabilise, subterfuge, whirly, sullies, vigilance, dispiriting, incredulous, incisive, inferrence","assort, catagorize, define"
6,coalesce,"co-occur, self-assembles, carve, gather, catalyze, fossilize, undulate, ignite, gravitate, densify","finance, biteyness, phony, radical, tedious, terrorise, protests, deescalation, accelerated, friendship","blend, combine, merge, meld, unify"
5,coalition,"organization, quasi-parliament, parliamentary-style, non-cabinet, outpoll, triparty, non-opposition, anti-system, non-parliamentary, liberal-democrats","similiarly, sensualist, semiquantitative, defend, 1990s, discontinue, subcontinent, engender, hardworking, rightsize","alignment, alliance"
2,coast,"northmost, highlands, ocean-front, cross-shore, sea-kayaking, region, center-west, northcoast, beach., estuarial","theoretic, sulkiness, utterly, blockings, rase, dependable, collegiality, expedite, dramatic, devisive",shore
